;;REP;KG;BUF;REP;KG;BUF;REP;KG;BUF;REP;KG;BUF;;;;NOTE
BS;3x6-10;;;;;;;;;;;;;;;;
LEG EXT;6-10;;;;;;;;;;;;;;;;
CALF *;ott-15;;;;;;;;;;;;;;;;
LEG CURL *;ott-15;;;;;;;;;;;;;;;;
SPINTE;06-ott;;;;;;;;;;;;;;;;
ALZ. FRONTALI *;ott-15;;;;;;;;;;;;;;;;
PUSH DOWN *;08-dic;;;;;;;;;;;;;;;;
BP;5;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
DIP;06-ott;;;;;;;;;;;;;;;;
SPINTE 30;06-ott;;;;;;;;;;;;;;;;
CAVI BASSI  *;ott-15;;;;;;;;;;;;;;;;
REMATORE;06-ott;;;;;;;;;;;;;;;;
PULLEY *;ott-15;;;;;;;;;;;;;;;;
CURL CAVI;08-dic;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
MP;5;;;;;;;;;;;;;;;;
ARNOLD PRESS;06-ott;;;;;;;;;;;;;;;;
ALZ. LATERALI *;ott-15;;;;;;;;;;;;;;;;
FS;5;;;;;;;;;;;;;;;;
LEG PRESS *;06-ott;;;;;;;;;;;;;;;;
LEG CURL *;ott-15;;;;;;;;;;;;;;;;
F. PRESS CAVI *;08-dic;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
TRAZIONI;5;;;;;;;;;;;;;;;;
LAT MACHINE;06-ott;;;;;;;;;;;;;;;;
PULL BAR *;ott-15;;;;;;;;;;;;;;;;
BP 45;5;;;;;;;;;;;;;;;;
SPINTE;06-ott;;;;;;;;;;;;;;;;
CHEST PRESS *;ott-15;;;;;;;;;;;;;;;;
CURL MANUBRI *;08-dic;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
REST / PAUSE;KG;REP;REP;REP;KG;REP;REP;REP;KG;REP;REP;REP;KG;REP;REP;REP;
PUSH UP *;;;;;;;;;;;;;;;;;
CAVI ALTI *;;;;;;;;;;;;;;;;;
LEG PRESS *;;;;;;;;;;;;;;;;;
SH LANDMINE *;;;;;;;;;;;;;;;;;
REMATORE JAM *;;;;;;;;;;;;;;;;;
STAND CRUNCH *;;;;;;;;;;;;;;;;;
